const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status,const_name_cw,bjp_votes,tmc_votes,total_votes,winner_is_bjp,winner_is_tmc
41,GANGARAMPUR,SATYENDRA NATH ROY,Bharatiya Janata Party,Goutam Das,All India Trinamool Congress,28339.0,Result Declared,GANGARAMPUR,105083,76744,192823,True,False
233,GARBETA,PRADIP LODHA,Bharatiya Janata Party,UTTARA SINGHA (HAZRA),All India Trinamool Congress,26225.0,Result Declared,GARBETA,113752,87527,222049,True,False
44,GAZOLE,CHINMOY DEB BARMAN,Bharatiya Janata Party,PRASENJIT DAS,All India Trinamool Congress,38192.0,Result Declared,GAZOLE,131541,93349,243885,True,False
231,GHATAL,SITAL KAPAT,Bharatiya Janata Party,SHYAMALI SARDAR,All India Trinamool Congress,37657.0,Result Declared,GHATAL,131550,93893,242025,True,False
30,GOALPOKHAR,MD GHULAM RABBANI,All India Trinamool Congress,SARAJIT BISWAS,Bharatiya Janata Party,83790.0,Result Declared,GOALPOKHAR,38315,122105,183176,False,True
201,GOGHAT,PRASANTA DIGAR,Bharatiya Janata Party,DR. NIRMAL MAJI,All India Trinamool Congress,49582.0,Result Declared,GOGHAT,134498,84916,234321,True,False
221,GOPIBALLAVPUR,RAJESH MAHATA,Bharatiya Janata Party,AJIT MAHATA,All India Trinamool Congress,26675.0,Result Declared,GOPIBALLAVPUR,114683,88008,213383,True,False
127,GOSABA,BIKARNA NASKAR,Bharatiya Janata Party,SUBRATA MONDAL,All India Trinamool Congress,16100.0,Result Declared,GOSABA,108492,92392,211328,True,False
43,HABIBPUR,JOYEL MURMU,Bharatiya Janata Party,AMAL KISKU,All India Trinamool Congress,78188.0,Result Declared,HABIBPUR,142062,63874,227613,True,False
100,HABRA,DEBDAS MONDAL,Bharatiya Janata Party,JYOTI PRIYA MALLICK,All India Trinamool Congress,31462.0,Result Declared,HABRA,104645,73183,198737,True,False
209,HALDIA,PRADIP KUMAR BIJALI,Bharatiya Janata Party,TAPASI MONDAL,All India Trinamool Congress,49062.0,Result Declared,HALDIA,132183,83121,239446,True,False
292,HANSAN,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,NIKHIL BANERJEE,Bharatiya Janata Party,28298.0,Result Declared,HANSAN,74925,103223,226555,False,True
73,HARIHARPARA,NIAMOT SHEIKH,All India Trinamool Congress,BIJOY SEKH,Aam Janata Unnayan party,12665.0,Result Declared,HARIHARPARA,32057,80338,235296,False,True
93,HARINGHATA,ASIM KUMAR SARKAR,Bharatiya Janata Party,DR. RAJIB BISWAS.,All India Trinamool Congress,22055.0,Result Declared,HARINGHATA,107900,85845,212756,True,False
196,HARIPAL,MADHUMITA GHOSH,Bharatiya Janata Party,KARABI MANNA,All India Trinamool Congress,3488.0,Result Declared,HARIPAL,113332,109844,245994,True,False
42,HARIRAMPUR,BIPLAB MITRA,All India Trinamool Congress,DEBABRATA MAJUMDER,Bharatiya Janata Party,1986.0,Result Declared,HARIRAMPUR,91112,93098,204074,False,True
46,HARISCHANDRAPUR,MD. MATIBUR RAHAMAN,All India Trinamool Congress,RATAN DAS,Bharatiya Janata Party,48271.0,Result Declared,HARISCHANDRAPUR,64833,113104,227099,False,True
