seats_flipped,party_a_final,party_b_final,party_a_majority,party_b_majority,p_min_b,p_maj_b,turnout
1,205,82,True,False,0.7170032386726525,0.4010798382161612,0.6375010693385831
0,206,81,True,False,0.5495291226504527,0.18681136290232261,0.6562999716606135
3,203,84,True,False,0.8870191184481917,0.27591384453976875,0.8978067482103763
0,206,81,True,False,0.6816769597862509,0.23625646781813975,0.7873646308425961
2,204,83,True,False,0.772368519156324,0.41131367796176943,0.710952645198511
0,206,81,True,False,0.7560478982735669,0.17753832827666982,0.6889397695886421
0,206,81,True,False,0.6683770326624987,0.26526847660813724,0.7881370497459737
0,206,81,True,False,0.7961410393046041,0.22563351352585834,0.8237697592464336
3,203,84,True,False,0.7523476893017534,0.49590051333899887,0.7258808651335301
0,206,81,True,False,0.5555369336128312,0.37787714249676424,0.6945704860403046
2,204,83,True,False,0.8763567447965348,0.2848599971108696,0.7857246912737199
0,206,81,True,False,0.8427781053792475,0.19248130984818237,0.6709748717074469
0,206,81,True,False,0.5301671807367527,0.15837219272592376,0.8150307553234302
1,205,82,True,False,0.7353842871776698,0.4691676953748271,0.6537873446823468
9,197,90,True,False,0.8645993359914337,0.5095065353190876,0.856516053046262
0,206,81,True,False,0.8361140804198868,0.1940663310953286,0.6503231690307804
4,202,85,True,False,0.8607503706183997,0.43668995606561894,0.8418311320724163
0,206,81,True,False,0.5185543066615379,0.33586994629154343,0.8236695355441132
1,205,82,True,False,0.7265556444144807,0.4935987044054398,0.6155627814111396
3,203,84,True,False,0.8754441962689258,0.44343345255166927,0.7273383628108717
1,205,82,True,False,0.6450504774415068,0.46446895414563666,0.7656638031633488
0,206,81,True,False,0.667812213138781,0.24644641151092114,0.6562663501877755
0,206,81,True,False,0.7030133237468152,0.32303723764482684,0.7275930079200297
10,196,91,True,False,0.8521055855781983,0.5406281295364227,0.8693693401728346
0,206,81,True,False,0.5006425717909933,0.44419693797926835,0.8666851879069776
6,200,87,True,False,0.7977791344812281,0.5222364072683633,0.779751006493223
2,204,83,True,False,0.8506424846186706,0.3731016632897381,0.7809490419424986
5,201,86,True,False,0.8174948576957476,0.5269507461732924,0.6741686406665548
0,206,81,True,False,0.6877622748010467,0.3101045604929286,0.6485413682300416
0,206,81,True,False,0.5606934439575162,0.22148020762996828,0.6903148671765048
0,206,81,True,False,0.6938241360389861,0.1662335074596156,0.8871656883088119
0,206,81,True,False,0.6861520142801729,0.3645397938438616,0.6719670463651766
5,201,86,True,False,0.8918663445346642,0.5215662577521782,0.7064598092923394
4,202,85,True,False,0.8952513458984752,0.4554083588086604,0.6726636364083014
0,206,81,True,False,0.5688670308652525,0.34493284629336635,0.6092028719997549
0,206,81,True,False,0.6081406760428243,0.1536951401054968,0.6200624076296567
5,201,86,True,False,0.7433289811155431,0.5132401599901201,0.7071907064318604
3,203,84,True,False,0.790811141526224,0.4700923899785096,0.7746741990357952
4,202,85,True,False,0.6715512568469513,0.5437914068302369,0.6442221590696607
0,206,81,True,False,0.7805727037321847,0.27211845301072374,0.8379849552051802
1,205,82,True,False,0.7030726670914945,0.36689990396229083,0.7519755869692665
0,206,81,True,False,0.7592400447352327,0.28894097533958935,0.6282906083527676
1,205,82,True,False,0.6051391257614479,0.48364116181066213,0.6522953773874538
0,206,81,True,False,0.8132380682288637,0.19926417938921248,0.7419403540053302
8,198,89,True,False,0.7821143635499569,0.5264679089139291,0.8901751323142942
0,206,81,True,False,0.8868043257276516,0.1874358978053047,0.638971624580542
0,206,81,True,False,0.8123815438759386,0.2558513503085888,0.6991211103951683
1,205,82,True,False,0.8572020398246507,0.2422173526930998,0.8224449044955313
1,205,82,True,False,0.7128528894145805,0.3932593906704679,0.8453362171976604
3,203,84,True,False,0.7929336765051146,0.4890576470540379,0.6095208897694081
2,204,83,True,False,0.8301113175406879,0.35762559711574277,0.8443554129432783
